gene	number_of_transcripts
MARCH3	1
CD1C	1
MEGF8	2
ZNF645	1
ARPC5L	1
HSD17B12	1
CCDC150	1
PAX9	1
PDE4C	3
SLC10A4	1
DOCK8	3
FHDC1	1
ZMPSTE24	1
THEM5	1
KIAA1467	1
FBXO2	1
TRAPPC4	1
IL27RA	1
HIST1H3I	1
RAP1GDS1	6
USP32	1
CAP2	1
PARK2	3
TNMD	1
MET	2
TEPP	2
POMT2	1
ABCG5	1
FAM78B	1
ZFP69B	1
RPTOR	2
STK32B	1
DFFB	1
RBM46	1
ZDHHC12	1
UTRN	1
FAM186A	1
FIBCD1	2
GSDMC	1
TMLHE	2
WDR31	2
RWDD4	1
CNOT2	3
PHF8	4
TGFB2	2
ITGA6	2
LIFR	2
GOLGA1	1
ZNF358	1
ZC3HAV1	2
TM4SF4	1
KSR1	1
TPM1	7
MBD3L1	1
PGAP2	8
DNAH14	3
SCUBE1	1
CRIPT	1
C1QL1	1
NKX6-2	1
CD5L	1
FNBP1L	3
M6PR	2
SWT1	2
NIPAL1	1
DLX3	1
C19orf18	1
C10orf129	1
PPAPDC3	1
DLC1	4
TXNL4B	3
OVOL1	1
ABCA7	1
ABCA12	2
GNAI1	2
TTN	7
RNF7	3
KRT82	1
RASSF10	1
SCHIP1	6
PSMD13	2
SKA1	2
FXYD7	1
FAM20C	1
BET3L	1
EFCC1	1
ZSCAN12	1
TSR3	1
EFCAB2	2
MAF	2
ZCCHC5	1
ZNF300	3
RDH16	1
KIF26A	1
GAP43	2
EN2	1
HIST1H2AM	1
RSPO1	4
IL6R	3
KIF18B	2
PRR9	1
PRDM6	1
METTL8	1
ACRC	1
ACRC	1
TMEM86B	1
RBFOX3	1
RSPO3	1
ANKRD54	1
CRMP1	2
SPATS1	1
CEBPZ	1
ACTRT3	1
NMRK2	1
NGRN	1
EGLN3	1
HSPA4L	1
ATOH8	1
CMA1	1
ELF1	2
POLK	1
SALL1	2
MIB2	5
GK5	1
YPEL4	1
PCYT1A	1
ZC3H13	1
TSPYL2	1
LYSMD3	1
ZP4	1
FOCAD	1
KLF16	1
GNAL	4
SH3GLB1	4
POSTN	4
C2orf53	1
SLC6A5	1
ALOX12B	1
VPREB3	1
USP10	2
RFX3	2
HIST1H1D	1
RNF6	3
LRFN5	1
FSD1L	3
HUWE1	1
ZBED2	1
RALY	2
RASAL3	1
KLHDC7B	1
POU6F2	2
PIGA	2
ZNF526	1
TUBA8	2
VIT	5
IRF8	1
NCOR2	3
FIGNL1	2
CDHR1	2
TMEM241	1
PITX3	1
TP63	6
RHBDL1	1
OR7A5	1
F2RL3	1
PGLYRP1	1
HIST1H2BL	1
SERPINB7	4
AGBL5	2
MAPK8	4
CASP4	2
IRAK4	5
TRAT1	1
ARHGAP1	1
RBM41	2
RPP30	2
SPRR3	2
CST6	1
MAEA	2
LIPI	1
SAMD1	1
NUDCD2	1
PLIN3	3
C2orf74	2
FBXO36	1
FRAT2	1
MIB1	1
FAM50B	1
NECAB2	1
KRT80	2
CASP3	2
MOG	9
MAGEL2	1
PEAR1	1
CD96	2
RNF149	1
UAP1L1	1
ZNF823	1
INCENP	2
HHLA3	3
HP1BP3	1
BCDIN3D	1
TFDP3	1
FZD2	1
CABP4	1
CORO6	1
NCKAP5L	1
HIST1H4B	1
AOC2	2
NANP	1
DDX49	1
CST7	1
TNC	1
CAPN3	6
FAM47A	1
C19orf57	1
FAM53A	2
GPR150	1
USP45	1
CNTN1	4
PLG	2
TEKT5	1
SLC30A2	2
USP27X	1
WSCD2	1
GOLIM4	1
ZBTB33	2
RASGRP3	3
SLX4	1
EHD4	1
CCDC34	2
FAM210B	1
MMP11	1
ATN1	2
LRRC45	1
LRFN3	1
ODAM	1
GEMIN6	1
S100A10	1
FAM78A	1
LOC646498	1
TBX4	1
OVOL3	1
CLEC7A	6
ZNF611	4
CCL18	1
CYTH2	2
NAT9	1
QSOX2	1
CAMK2D	6
SLC25A36	2
LUZP2	3
UGT8	2
LONRF3	2
HEY2	1
PCGF3	1
LIN7A	1
ODF3L1	1
C2CD4B	1
NUDT15	1
TDRKH	4
WDR11	1
WDR11	5
SPPL2C	1
GMDS	2
TMEFF2	1
PGBD1	2
MGAT5B	3
AGXT	1
PPP1R36	1
EFNB1	1
AADACL2	1
GRAMD1B	1
C6orf118	1
TRDN	5
LOC200726	1
KCNMA1	9
EEF1G	1
BNIP3	1
FMO2	1
CCDC81	2
GNMT	1
IGF2BP1	2
LRRC41	1
RNF114	1
SCAMP4	2
UBXN11	3
STAC2	1
LRRC3C	1
SP110	4
CAMKV	1
CTIF	2
NIF3L1	4
GLYAT	2
RMDN1	1
IFT74	4
PLCXD3	1
MAP2K1	1
UCHL5	4
FCAMR	3
C2orf27B	1
UBL3	1
COL4A6	2
MAP3K2	1
KDM8	2
BNIP1	4
KIRREL2	3
SERPINA11	1
MTL5	2
ZNF226	5
TUSC5	1
MSANTD2	1
IPCEF1	3
ECE2	5
TMEM30B	1
SIM2	2
TBX15	1
ASPG	1
NCR3LG1	1
TMEM170B	1
PPP2R2A	2
CCBP2	1
HERPUD1	3
NIT1	4
NEGR1	1
RSPH6A	1
BMP2K	2
C17orf112	1
ANGPTL7	1
LEPROTL1	2
BLK	1
UQCRQ	1
FBXO33	1
SERINC1	1
PTGES	1
GJB7	1
KY	1
COLQ	3
P2RX3	1
CNPY1	1
CACNG2	1
SPIN1	1
CUL1	1
PSORS1C2	1
ZNF583	3
TMEM81	1
GPR64	9
ZNF610	4
BRWD3	1
ZNF334	2
HMGCLL1	2
CNGB1	2
TXNDC8	1
ATP12A	2
FAM194A	1
ARL13A	3
C14orf166B	1
CD300LG	4
GRM5	2
AGBL2	1
POU2F2	4
PCNA	2
TRAF3IP3	1
ZNF485	1
DNAI2	2
PEG10	6
ZBTB3	1
FAM124B	2
MSR1	3
SH2D4B	2
PCDHB16	1
CCDC108	2
ZNF415	3
MDH1B	1
LRRC40	1
MEDAG	1
ZER1	1
CACNG1	1
B4GALNT4	1
UBR4	1
CDH15	1
PRICKLE2	1
RAP1GAP	3
ZNF311	1
C9orf131	4
TEX36	1
CCM2	4
ZNF649	1
POLR3D	1
LOC147646	1
CTU1	1
LHX3	2
C20orf202	1
IMMT	3
PATE1	1
ZNF771	2
OTOS	1
CNFN	1
UBE3D	1
CTSH	1
CALY	1
GPRC5B	1
ST3GAL6	6
RNF144B	1
SLC36A4	1
RQCD1	3
DEC1	1
C1orf50	1
SLC5A12	1
CHL1	3
ANO2	1
ARHGAP39	1
CGNL1	2
GREB1L	1
SLC25A31	1
PIK3R4	1
SHANK3	1
HTR2C	3
SLC7A13	1
SMTN	5
ARSB	2
TNFRSF19	4
CNDP2	2
PADI3	1
EFNB2	1
CPS1	3
RUNX1	3
MTFR1L	4
AICDA	1
ODF2L	4
UFL1	1
KPRP	1
MYO6	1
CYB561D2	1
RIPPLY2	1
TMPRSS15	1
METTL6	1
NUDT9	3
WNT9A	1
SEC16B	1
LGSN	2
PLA2G3	1
LRGUK	1
RNLS	2
MTIF2	2
ASCL4	1
RPS6KA1	2
PEX14	1
THOC2	1
KIF25	2
ERLIN1	2
BIRC6	1
CDHR3	1
OSBPL10	2
GPR115	1
MAPK7	4
HIST1H1A	1
UGT2B15	1
KCNA5	1
CRB3	2
MATN1	1
ZFP37	1
CDK9	1
CEP290	1
RPUSD4	2
LMF2	1
GPRIN1	1
KLF9	1
EIF1	1
CYP26A1	2
FAM111A	5
JAM3	2
IL17RD	1
BCL2	2
CHGA	1
TXNDC5	2
TMEM114	1
MS4A8	1
EXTL1	1
TRPC3	2
OXA1L	1
FN3K	1
PPP3R2	1
DHX38	1
KIF5A	1
PALLD	4
RNF122	1
KLK7	4
BSND	1
GMFB	1
MB21D2	1
RAB13	2
CRY1	1
HCRTR2	1
LRRC32	2
DHX34	1
KIAA0100	1
EIF2S1	1
EFTUD2	4
GPR85	4
CYP2J2	1
FBXL19	2
ANAPC4	1
SMARCA1	2
PRMT3	3
FAM214A	1
HOXD13	1
FAM83B	1
ASCL2	1
C5orf20	1
HAND1	1
PSMD6	4
EFCAB3	2
FAM65A	4
TRAK2	1
EMCN	2
VWA5A	3
PSME3	3
HUS1	1
STK16	1
TAF1C	7
SWAP70	1
BTN1A1	1
TAF1A	3
C1orf227	1
DOM3Z	1
PREX1	1
PLCL1	1
PLOD3	1
DARC	2
GRP	3
UBN2	1
ESPL1	1
TOM1L1	1
KCNC4	2
LY75	3
MEF2BNB	4
PPFIA4	1
UBXN8	1
NEK2	3
C1QTNF7	3
CDC25B	3
RRP9	1
C14orf180	1
MNDA	1
CHTF18	1
SMAD6	2
CBFA2T2	3
NT5E	2
ACTR1A	1
FAM171A2	1
ERP44	1
HES4	2
PHLDA2	1
MLANA	1
SLC35B1	1
LBP	1
PYGM	2
PLAGL2	1
PRMT2	5
S1PR1	1
BACH1	2
TLL2	1
UBA3	2
ANO5	2
FAM57A	1
SS18L1	1
CNGB3	1
C2orf47	1
ACHE	2
CBR3	1
MYO7B	1
RSPH3	1
FAM110B	1
CYP1B1	1
PSD	3
LHB	1
SERAC1	1
CMTM8	1
NRIP1	1
ZNF217	1
FAM105A	1
GNB5	2
CA2	1
ZNF174	2
HNRNPUL1	2
ALDOC	1
PRKCD	2
LPAR5	2
CHAC1	2
UBXN2B	1
LRRC23	3
FOXF1	1
CFD	1
PAX2	5
FOXA2	2
ETFDH	1
GRHPR	1
FUOM	2
GOLGA2	1
TBC1D9B	2
H1FNT	1
RTN4IP1	1
CDH24	2
PTPRK	2
TRPM1	4
PTPRCAP	1
KDM4A	1
CLUAP1	2
CTC1	1
FLG2	1
ZNF132	1
PSMC6	1
CPQ	1
ZCCHC14	1
ZXDB	1
CHRND	2
DCN	6
PGBD4	1
ZFP57	1
TOP2A	1
KIAA1377	1
RPS29	2
TNN	1
PRAMEF12	1
CD247	2
CYP4F22	1
EPHX3	2
TFCP2L1	1
CDKN2AIPNL	1
SACM1L	1
AXIN2	1
SCG5	2
TM4SF20	1
CALCOCO1	2
ANKH	1
AASS	1
TMEM231	1
PPIP5K1	4
NPAS2	1
TSPAN19	1
SEMA6A	1
TEDDM1	1
IL17B	1
PIGN	2
ZNF197	2
ANGEL2	1
COQ7	2
RPL41	2
TMEM242	1
ZCCHC13	1
ZNF578	1
OLA1	2
ANKMY2	1
HAGH	2
TPRKB	1
RFPL2	4
SOX3	1
PRR16	1
TMEM121	1
RAB5B	3
NR2E1	1
CD244	3
ZSCAN26	3
PRKACG	1
KCNN1	1
ZNF184	1
HSF2	3
ITGA10	1
SDC3	1
PDCD1	1
HAP1	3
PROP1	1
CHST3	1
MSI1	1
IL18RAP	1
BMP10	1
HMHB1	1
SLC18A1	4
RENBP	1
NTN3	1
SERPINB10	1
TNFRSF13B	1
PRY	1
XKRY	1
HCRT	1
GALR3	1
UNC5CL	1
AARS2	1
DCTN6	1
CDK5R2	1
IPO13	1
CLSTN2	1
TAF1	2
LYNX1	5
C20orf173	1
EIF5B	1
BICC1	1
SLC35F3	1
FAM188A	1
APC	3
CD300E	1
C1orf210	2
TRPC6	1
ZNF800	1
RHEBL1	1
PRPF4B	1
BTN2A1	4
C10orf118	1
LARP4B	1
AMD1	2
RAF1	1
LFNG	4
ARHGDIA	3
PLEKHM3	1
DOCK1	1
TMSB4Y	1
NAB2	1
HAS2	1
FOXE1	1
PKD2L1	2
ODF1	1
CDY1	2
DRP2	2
ABR	4
UPK1A	1
DKK4	1
PTGER1	1
C11orf74	7
MOCS3	1
SURF2	1
ABL2	8
B4GALNT1	3
NLRP3	6
SACS	1
BTK	1
SERPINF2	3
CRTAM	1
CGREF1	4
ZNF804A	1
MPPED1	1
ABCD1	1
MTERFD2	1
LY6H	3
SERPINA5	1
DEGS2	1
IQUB	1
GNG4	3
SPO11	2
HEPN1	1
ITSN1	2
MAP10	1
RSPH4A	2
TSHR	3
SLC43A2	1
ACACA	5
IGF1	4
EMC7	1
PASD1	1
ASS1	2
IRG1	1
PTPRO	6
TP53AIP1	4
GPBAR1	3
CDC37	1
CDC37	3
KPNA1	1
SYT8	1
SPACA1	1
ZBTB5	1
PDHB	2
PEX13	1
GSTCD	2
TAT	1
MMP8	1
KCNQ2	5
TMPRSS4	4
SULF2	3
DCC	1
HBP1	2
C6orf222	1
COPA	2
GLIS3	2
RASGRF2	1
ERP27	1
PER3	1
CLDN8	1
CHD4	1
UCHL3	2
TMEM171	2
KCNK17	2
PLAC8L1	1
INTS9	3
PIAS1	1
GRXCR1	1
SLC12A2	2
PPARG	4
MVB12B	2
HPDL	1
LIM2	2
LRP1	1
POLE2	3
HSD17B2	1
TFF1	1
HOOK3	1
DPF3	1
PACSIN2	3
CEP128	1
ANTXR2	2
SLC30A4	1
DYM	1
EQTN	2
TUBAL3	2
C17orf62	7
IFIH1	1
LRRN1	1
NSUN4	3
PYCR1	2
FOXA1	1
OR2J2	1
PANK1	3
NUP62CL	1
NTNG2	1
MOCS2	2
ZNF669	2
UBE2J1	1
N6AMT1	2
CD14	4
PICALM	4
ANO7	2
NR3C2	2
FRMPD1	1
CXCL6	1
C19orf52	1
GRB10	4
THEM4	1
SLC26A9	2
FBXO48	1
SLC5A11	5
EIF5A2	1
PLEKHH2	1
THBS1	1
DYRK3	2
TMEM127	2
PKP2	2
VPS9D1	1
DNAJC5	1
HECW1	1
UNC13A	1
SHH	1
CADM2	7
LYG1	1
TVP23C	3
TGM7	1
PEX1	1
C11orf63	2
TREML2	1
CCDC54	1
UBE2E1	3
BARX1	1
PYCRL	1
VAPA	2
KLK13	1
NAA30	1
SLC22A14	1
FBXO4	2
C11orf82	1
CDHR5	3
DIRAS2	1
CHST8	3
FCHO2	2
FAM83E	1
ANTXR1	3
FGFR4	3
CTNND1	22
FGF6	1
MITF	8
USP37	1
LIG4	3
ELAVL2	3
IRF7	3
CHRD	1
FOXD2	1
SSX5	2
PHF1	2
CUBN	1
FAM173A	2
RGS17	1
IL37	5
CLCN5	4
ITGB3BP	2
FAM114A2	1
CD37	2
SEC13	2
GABBR1	3
ADORA2B	1
ENDOD1	1
TCTN2	2
SNAP25	2
CTNNA2	2
SIK3	1
RANBP6	3
SRP54	2
SLC2A2	1
GPR108	1
SH3BP2	4
SMAD5	3
BTN3A3	3
EPC1	3
TRPC4AP	2
IL15	2
ATG2B	1
OXER1	1
TLX2	1
AFM	1
ULK2	2
METTL3	1
GDAP1	2
PTCRA	4
NCAN	1
KIF21B	4
CCL23	2
ACRV1	4
FUT3	4
MAGEA12	3
PYY	1
PRPS1L1	1
TAGLN3	3
TIGD6	2
TMX4	1
MPDZ	3
EIF2B4	3
MAFB	1
DIABLO	2
C8orf33	1
OLFM2	1
BOLL	2
FBXO45	1
KLRB1	1
TTK	2
THBS3	3
PABPC4	3
KCNA3	1
TMEM254	9
TGFA	2
RUNX3	2
GPR88	1
VCX3A	1
PKHD1L1	1
NFIC	5
RXFP3	1
PLCH2	1
CECR1	2
MEOX2	1
MARCH4	1
MCF2L	2
PLEK2	1
PLA2G6	3
XPNPEP2	1
TSPAN8	1
TATDN1	2
CFL1	1
SDR16C5	1
UBA5	2
FRMD7	1
BRSK2	4
HAUS7	1
PLN	1
CCDC122	1
ZBTB42	1
CYTH4	1
GALNT3	1
TRANK1	1
HS6ST3	1
ARHGAP15	1
IGSF3	2
NPAT	1
SPATA17	1
ASPA	2
CD86	5
AHR	1
HSD17B10	2
ITGA8	1
CRNKL1	1
NCOA7	6
C8orf47	2
ENOX2	2
USP11	1
EPHA2	1
SKP1	2
DUSP1	1
PVR	4
ZRSR2	1
C1QTNF3	2
APBA1	1
EDAR	1
HESX1	1
KLK3	4
PLK4	3
ZP1	1
PPFIBP1	4
PIFO	1
PTBP1	3
RAD51B	3
ZNF589	1
SLC12A7	1
ITGAM	2
XPO7	1
DIRAS1	1
MPC1	2
TCEB2	2
UXT	2
DNAJC4	1
CSTF1	3
SLC8A2	1
COL1A1	1
CGB5	1
ZNF559	8
C11orf87	1
ZNF644	2
GNB4	1
MTA2	1
FAM109A	3
SLC24A1	2
TSPYL5	1
DYRK2	2
EMC8	2
NKIRAS1	1
B3GNT2	1
TMEM100	2
RPUSD2	1
FAIM	4
FKBP8	1
KIAA0430	3
NDUFS2	2
RAB11FIP2	1
C1orf228	1
C4orf3	2
ADAM33	2
CKB	1
ESAM	1
FZD7	1
NIPSNAP1	2
CSF1	4
MTPAP	1
TBX1	3
ADAM28	2
EDF1	2
ITGAL	2
TACO1	1
ZNF335	1
CDX2	1
ACVR2B	1
TLR4	3
SLC22A12	4
RAPGEF5	1
CNNM4	1
KCNK7	4
SLC7A3	2
USP13	1
PIK3C2A	1
ZNF572	1
TEX2	1
EPB41	6
AK1	1
ELP4	1
CLSPN	2
SLC39A2	2
AUH	1
GABRA1	5
YTHDC1	2
C1orf185	1
TMEM144	1
TBC1D1	5
CYP4Z1	1
COLEC10	1
HEMGN	2
AQP8	1
OLIG2	1
SCAND3	1
VSIG1	2
SYT9	1
LYRM2	1
CA5A	1
ATP5E	1
WDR93	1
MGAT4A	2
ZBTB34	1
ZSCAN5A	1
PM20D1	1
PARP1	1
BHLHE41	1
SF3B14	1
LOC81691	3
CLEC3A	2
NUPR1L	1
ADAM2	1
C4orf6	1
C5orf48	1
ADAM20	1
MEPCE	4
MYF5	1
MS4A5	1
ACE2	1
SMKR1	1
DUSP13	4
C3orf22	1
PIGK	1
CAAP1	2
RPL8	2
CHP2	1
FAM218A	1
ZNF280A	1
MAPK13	1
PRDM11	2
MBD3	1
ADAM21	1
SLC32A1	1
NXPE4	2
IRF2BPL	1
UBQLN2	1
SNAPC1	1
SLC2A8	3
MCM3	2
DHRS9	4
SPATA6L	1
TMCO5A	1
XG	3
MEP1A	1
MYBL2	1
PTPRH	2
FMNL3	2
GNG3	1
FLOT1	1
PSMB8	2
CFL2	3
CALML5	1
LONRF1	1
ZNF550	4
MRPS16	1
HOGA1	2
RBBP8NL	1
ZNF671	1
SLC25A16	1
HSPA8	2
FERMT3	2
NUP35	1
STX3	2
PICK1	3
H3F3B	1
LPL	1
TYMP	9
PRDX1	4
PRDX1	1
CXXC1	2
FAM69A	5
DMXL1	1
DUSP3	1
TNFSF4	1
ANXA13	2
MED4	2
ELK1	3
TEF	2
HMGN2	1
GLB1L	1
CHCHD1	1
HLA-A	2
PKD2	1
CELA3A	1
SEL1L	2
CTSS	2
MTMR2	4
PRPF8	1
TMUB2	3
TMEM9	1
ZNF140	1
MYOD1	1
GNGT2	4
CASC5	2
DCAF12L2	1
NCKAP1L	2
BRSK1	1
HIST1H2BF	1
ARL3	1
NHP2L1	2
HPN	2
TNNC2	1
HIST1H2BM	1
POU3F2	1
KRT85	1
VAPB	2
TMEM184B	3
MRPL20	1
RNMTL1	1
RPL35	1
SLC35B2	1
KPNA5	1
GLCE	1
MAOA	2
ARHGAP28	1
KLRF1	1
ARL4D	1
RPP21	3
ZNF613	2
SSPN	2
NDUFB1	1
ABHD13	1
CLDN23	1
MECR	2
TDO2	1
EIF4G2	3
GORAB	2
ADD1	4
EDNRA	3
RANGAP1	1
USP31	1
DCTD	2
CHMP4C	1
FLJ31945	1
PITPNM3	2
PPP1CA	3
ZNF138	7
CRYAA	1
TM4SF5	1
PMPCB	1
HSPA9	1
CDK7	1
MELK	9
ELAVL1	1
STK38L	1
ALMS1	1
MFI2	2
BEX4	2
SLC25A11	3
GPR1	6
CCR4	1
CYP11B1	2
GBX2	1
MALL	1
GNB2	1
SPG7	2
ZNF331	7
LTV1	1
NEDD4L	10
EYA3	1
TMIE	1
COG7	1
HDHD1	4
ODF4	1
SPERT	1
MAP3K5	1
FAM111B	3
PION	1
ZNF687	1
REPS2	2
ZNF324B	1
DTX2	4
DNAJC24	1
PAPPA2	2
MYL1	2
NR2E3	2
IFT88	2
TMC7	2
CYP4F11	2
CYP4F11	1
FBXO27	1
OGFOD3	2
MGA	2
SOX21	1
NKD1	1
VSIG10	1
PLK1S1	4
LRRK2	1
TMEM65	1
CCDC51	7
CTNS	2
CPLX3	1
BRD4	2
GNG2	3
C2orf43	1
THRB	4
FAM19A4	2
GPR114	1
NF2	9
GAREML	2
SLC20A1	1
TAB3	1
ANXA10	1
PIGC	2
MAN2B2	1
WDR37	1
ADD2	5
RBBP6	3
ZDHHC13	2
TMEM135	2
STARD10	1
PLEKHA5	5
SNX1	3
ADAMTS18	1
KCTD20	1
PLEKHG4	5
GPR20	1
C1orf172	1
NUDT3	2
SLC22A10	1
EPT1	1
TWF1	2
CATSPER1	1
BTNL8	6
DMRT3	1
TCTE1	1
UBQLN3	1
SMURF1	3
FNBP1	1
MATN2	2
RNF112	1
PLA2G2D	2
DIP2A	7
SEC24D	1
CPED1	2
ZNF182	3
NDUFAB1	1
CCT2	2
NOSTRIN	4
PLEKHG1	1
TMEM57	1
SULT4A1	1
TRIM65	2
PBRM1	1
GSTO1	3
MYL12A	1
RAP1A	2
PRRG1	5
COPS4	2
FANCD2OS	2
ZC3H6	1
GPNMB	2
MIS18A	1
CLEC12A	3
LSM6	1
PXK	1
RASGEF1C	1
DDX58	1
BABAM1	2
HAL	3
C9orf66	1
RPS21	1
ENPP2	3
TMTC4	2
PDE1A	5
C11orf95	1
NEU3	1
HNF1B	2
CHD1L	5
RAB11FIP1	2
TTC17	1
SNX9	1
CYTH1	2
CPNE3	1
UNG	2
SEPT7	3
NICN1	1
CUX1	7
BTN3A1	4
DHX9	1
GOPC	2
VPS13B	4
HSBP1L1	1
TMEM108	2
PI4K2B	1
DQX1	1
MGST3	1
NOXO1	4
MAMSTR	2
CDH3	1
SEC61B	1
UBE2J2	4
C1orf65	1
TRIM44	1
RASL11A	1
TP73	13
ADCY1	1
ELL2	1
PPL	1
ZNF296	1
MMP23B	1
SNX27	1
HSP90B1	1
REXO1	1
TBC1D30	1
CMBL	1
FAM160B1	2
MRE11A	2
UTS2R	1
RTKN	3
PCDH10	2
ZNF883	1
PPP1R14D	2
GPR173	1
CLCN6	2
LRRCC1	1
ZMIZ1	1
SASH1	1
BIN1	10
MAGIX	4
UGGT2	1
CPLX2	2
MTAP	1
FGFRL1	3
LIMD1	1
FAM212B	2
BCL10	1
PTPN14	1
ZDHHC9	2
ZNF230	1
TNPO3	2
HAO1	1
IL10	1
PSMD5	2
C11orf94	1
C2orf54	2
GPATCH4	2
TDRD7	1
ETV2	1
WDR82	1
RCL1	1
BRCA1	5
YES1	1
ZC3HC1	1
FRS3	1
LEP	1
C3orf27	1
MAP1A	1
TCEAL4	3
E2F2	1
STAP2	2
DPY19L3	2
KIAA1244	1
RDM1	8
VTI1A	1
SLFNL1	2
C1orf94	2
BAI1	1
CLCA1	1
EZH1	1
BSN	1
SLC25A14	2
NFS1	2
MAP3K6	1
DIRAS3	1
CCNB2	1
PNMA1	1
GCNT3	1
ZRANB2	2
NCR2	3
ONECUT2	1
BAG4	2
DIEXF	1
SIX6	1
SEZ6L	6
MEP1B	1
CXCR1	1
SLC10A2	1
STOML1	7
MRM1	1
HSD11B1	3
C11orf57	3
ECE1	4
SLC38A5	1
SAGE1	1
PLK5	1
MLH1	7
OLIG3	1
DOCK5	1
FLNA	2
PFKFB3	2
SRC	2
TECPR2	2
CMTM2	2
ZNF503	1
TRIM48	1
CD248	1
AATF	1
MTTP	1
SP8	2
PKD1L1	1
SPRED3	1
HDAC9	9
FAM90A1	1
RB1CC1	2
DMTF1	3
ECH1	1
PTGS2	1
JDP2	4
RTP3	1
SUSD5	1
IRX4	1
HLF	1
FCRL6	1
RHOXF2B	1
SSFA2	2
ZDHHC6	1
SNX7	2
ADORA2A	1
MAN1C1	1
NEK6	7
SLC7A4	1
CMKLR1	4
TLE1	1
TDRD5	5
FAM132A	1
HECA	1
FAM83F	1
VWA2	1
C20orf195	1
FAM47B	1
ANKRD24	1
SARDH	2
PDE4B	4
PBLD	2
JMJD7-PLA2G4B	4
AOC3	1
GJB5	1
CXCR3	2
NDUFA3	1
TBX6	1
MCM10	2
BPGM	2
C2orf80	1
GABBR2	1
NEFH	1
RHNO1	4
FBLN2	3
CHUK	1
CAMK1G	1
PTGER4	1
PCDHA@	33
TINAGL1	3
WFDC10A	1
RERG	2
RANBP2	1
MRPL42	2
AP3B2	1
HAX1	2
TMEM97	1
CD207	1
ME3	3
SSH1	3
TRHDE	1
DCHS1	1
LRRC55	1
CPNE4	1
FGF20	1
NUDT11	1
C7orf73	1
ACBD6	1
HDAC7	2
C7orf41	1
LOC100505478	1
ACAA2	1
FYCO1	1
FAM102B	1
CARD6	1
CREM	26
NCMAP	1
APOBR	1
TMED8	1
SCAMP3	2
KCNJ12	2
CERK	1
MECP2	2
SLC38A6	2
SKAP2	1
SDCBP	5
LAMA2	2
NARG2	3
NTN4	1
STMN4	1
RGAG1	1
MAL2	1
TTC25	1
CKAP5	2
SEMA3D	1
DNAH12	2
PHKA1	3
C1QTNF1	4
PERP	1
EPHX4	1
NHS	2
UGT2B10	2
BASP1	2
AKR1D1	3
SOX13	1
CHIT1	3
C9orf171	1
LAMC3	1
MBNL1	7
TMPRSS11E	1
POLA2	1
HIPK3	2
ST7L	4
PTGS1	7
TRAPPC8	1
CCDC47	1
EMX2	2
PCOLCE	1
MANSC4	1
SMN2	4
OSCP1	2
KIAA1429	2
OTP	1
LOC100130301	1
PALD1	1
DIO2	5
PTCHD2	1
CCDC132	3
LRRC18	1
MYC	1
UVRAG	1
TMEM55A	1
KIAA1456	2
C1orf85	5
SOX1	1
CCDC40	2
FAM185A	2
ZNF543	1
C2CD4A	1
DNMT1	2
SYCP2	1
CD2BP2	2
SCGB1D1	1
WAPAL	1
XPO5	1
TNK1	2
MRPL44	1
GSTO2	4
PLS1	3
DCBLD2	1
GOLPH3L	1
FN1	6
FRG1	1
PCDHB7	1
TMEM184C	1
SGTA	1
TRRAP	2
NUDT19	1
PHTF2	5
AHSA1	1
TNFRSF11A	4
SCGB1D2	1
IGSF9B	1
LCN2	1
ZNF470	1
HTATSF1	2
SUCO	2
EFR3A	1
DOPEY2	1
TYW5	1
MMP26	1
WDR77	1
PLAC9	1
AKD1	2
MRPL3	1
VWA5B1	1
ARHGAP27	2
ZNF507	2
COL6A5	1
WDR35	2
PRX	2
GLIPR1	1
RLF	1
SLC17A1	1
ZBTB22	2
PSMG4	3
SYNM	2
ANKDD1A	1
LMTK3	1
ST6GAL1	3
MS4A15	2
PROCA1	1
JAK1	1
CBLN3	1
LMO7	2
RBL1	2
MAPK8IP3	2
AGA	2
HRCT1	1
KIAA1324L	2
ESR1	4
TNIP3	3
KISS1R	1
MCF2L2	1
GAL3ST3	1
EVA1C	1
FANCD2	2
SLC25A40	1
KCNK1	1
WDFY2	1
CTBP1	2
TMPRSS3	4
NMNAT3	1
COG4	2
BBS4	2
C18orf54	1
NLK	1
GPHN	2
CD69	1
CENPM	3
C9orf64	1
LYRM5	1
ANGPTL3	1
ACTL9	1
IMPG2	1
SP7	2
TIPRL	2
NRK	1
SH2D6	1
SPATA31D1	1
KIAA1715	1
CECR6	2
TDP1	2
AADACL4	1
LRFN4	1
STMN1	4
LMBR1	1
COL5A1	1
BCL2L14	3
SCAF11	1
CCDC38	1
HERC1	1
ELMO2	2
KIAA0141	2
IL21R	3
LACC1	2
TEX29	1
SRGAP1	1
TBR1	1
SEMA5B	4
TBC1D4	1
CA12	2
WDR88	1
ZNHIT1	1
BPIFA1	3
IL36G	1
SFTA2	1
CRELD2	2
THBS4	1
PHF2	1
DNM2	5
CCDC71	1
WFIKKN2	1
TCTN1	5
KIAA1432	3
HCCS	3
IFNA2	1
PPEF1	3
PSMC4	2
TNFAIP3	3
SMC1A	1
ADAMTS4	1
FAM135A	3
GPC2	1
BEGAIN	2
COG2	2
TIGD1	1
DKK2	1
BTBD17	1
NDUFS7	1
TXN2	1
PPIP5K2	2
